obs_id,true_value,meas_value,corr_value,diff(%)
16,  1.71723   13.6076 -0.206128  0.390511,  1.61724   13.7334 -0.240769  0.406227,  1.59394   13.7261 -0.240769  0.406227,-7.17905 0.871216  16.8054  4.02455
18, 3.74041  6.59984 -0.38613 0.451551,  3.88896   6.88403 -0.377248  0.506295,  3.87116   6.87597 -0.377248  0.506295, 3.49561  4.18386 -2.30017  12.1236
19,  18.5646   11.3328 -0.231757 -0.326946,  18.7922   11.4755 -0.197016 -0.356447,  18.7868   11.4529 -0.197016 -0.356447, 1.19665  1.05987 -14.9902  9.02319
0,  3.19883   5.66413 -0.248269  0.439914,  3.12296   5.28805 -0.280365  0.451542,  3.12076   5.40649 -0.280365  0.451542,-2.44055 -4.54867  12.9277  2.64327
7,  9.17275   15.0956  0.514469 -0.473625,   9.2431    15.167  0.485752 -0.439196,  9.23917   15.1821  0.485752 -0.439196,0.724076 0.572992 -5.58187 -7.26908
9,  12.5099   6.82014  0.306005 -0.388392,  12.5953   6.73411  0.314582 -0.401133,  12.5837   6.79043  0.314582 -0.401133, 0.589802 -0.435751   2.80276   3.28047
16,  1.71035   13.6206 -0.206128  0.390511,  1.68659   13.3406 -0.226749   0.46518,   1.6687   13.4119 -0.226749   0.46518,-2.43532 -1.53233  10.0042  19.1207
18, 3.72754  6.61489 -0.38613 0.451551,  4.17029   6.63139 -0.446971  0.436472,  4.11455   6.67773 -0.446971  0.436472, 10.3824 0.949927  15.7566 -3.33937
19,  18.5569   11.3219 -0.231757 -0.326946,  18.1798   11.2591 -0.259117 -0.341753,  18.2865   11.2916 -0.259117 -0.341753, -1.45682 -0.267717   11.8053   4.52906
0,  3.19056   5.67879 -0.248269  0.439914,  3.36493   5.74073 -0.284381   0.42805,  3.31976    5.6838 -0.284381   0.42805,  4.04964 0.0882504   14.5455   -2.6969
7,   9.1899   15.0798  0.514469 -0.473625,   9.4195    15.163  0.531355 -0.445634,  9.39041   15.1638  0.531355 -0.445634, 2.18184 0.557047  3.28228 -5.90991
9,  12.5201    6.8072  0.306005 -0.388392,  12.3975   7.14533  0.302168 -0.397447,  12.4325   7.07975  0.302168 -0.397447,-0.699777   4.00389  -1.25392   2.33135
16,  1.70348   13.6336 -0.206128  0.390511,  1.71038    13.505 -0.185938  0.426119,  1.70174   13.4911 -0.185938  0.426119,-0.102135  -1.04545  -9.79493   9.11823
18, 3.71467  6.62994 -0.38613 0.451551,  3.61961   6.83668 -0.409986  0.461602,  3.70523   6.81104 -0.409986  0.461602,-0.25394  2.73147  6.17827  2.22591
19,  18.5492    11.311 -0.231757 -0.326946,  18.3549   10.9933 -0.225813 -0.306185,  18.3413   11.0445 -0.225813 -0.306185, -1.1205 -2.35599 -2.56475 -6.34995
0,  3.18228   5.69346 -0.248269  0.439914,  3.16686   5.40182 -0.267263  0.486689,  3.19246   5.45478 -0.267263  0.486689,0.319799  -4.1922  7.65058  10.6327
7,  9.20705    15.064  0.514469 -0.473625,  8.88567   14.6963  0.502721 -0.520315,  8.97863   14.7767  0.502721 -0.520315,-2.48093 -1.90729  -2.2835  9.85812
9,  12.5303   6.79425  0.306005 -0.388392,  12.4703   6.56346  0.308084 -0.404043,  12.4654   6.65303  0.308084 -0.404043,-0.518159   -2.0785  0.679453   4.02975
16,  1.69661   13.6466 -0.206128  0.390511,  1.73181   13.1932 -0.219741  0.330534,  1.72524   13.2485 -0.219741  0.330534, 1.68731 -2.91749  6.60433 -15.3587
18,  3.7018    6.645 -0.38613 0.451551,  3.45033   6.62225 -0.408218  0.485694,  3.49331   6.65869 -0.408218  0.485694,-5.63217 0.206106  5.72024   7.5614
19,  18.5414   11.3001 -0.231757 -0.326946,  18.4404    11.655 -0.197814 -0.292326,  18.4215   11.5445 -0.197814 -0.292326,-0.646844   2.16304  -14.6458  -10.5887
0,  3.17401   5.70812 -0.248269  0.439914,  3.05134   5.77721 -0.243847  0.441933,  3.07497   5.72252 -0.243847  0.441933,-3.12033 0.252331 -1.78117 0.459039
7,   9.2242   15.0482  0.514469 -0.473625,  9.26746   14.8086  0.536616 -0.447514,  9.21911   14.8001  0.536616 -0.447514,-0.055168  -1.64903   4.30485  -5.51294
9,  12.5405    6.7813  0.306005 -0.388392,  12.7722    6.6526   0.33174 -0.344801,  12.7194   6.65047   0.33174 -0.344801, 1.42654 -1.92938  8.40991 -11.2234
16,  1.68974   13.6596 -0.206128  0.390511,  1.65151   13.5817 -0.210959   0.43292,  1.66337   13.5247 -0.210959   0.43292, -1.56068 -0.988001   2.34377   10.8598
18, 3.68893  6.66005 -0.38613 0.451551,  4.04742   6.15203 -0.374254  0.455401,  3.94642   6.24506 -0.374254  0.455401, 6.98011   -6.231 -3.07571  0.85268
19,  18.5337   11.2892 -0.231757 -0.326946,  18.7869   11.2184 -0.220667 -0.345035,  18.7206   11.2746 -0.220667 -0.345035,  1.00843 -0.129072    -4.785    5.5328
0,  3.16573   5.72278 -0.248269  0.439914,  2.96078   5.57574 -0.210168  0.434958,  2.97978   5.60449 -0.210168  0.434958,-5.87379 -2.06712 -15.3469 -1.12665
7,  9.24135   15.0324  0.514469 -0.473625,  9.56035    15.085  0.483037 -0.459815,  9.50258   15.0315  0.483037 -0.459815,    2.82676 -0.00593175     -6.1097    -2.91577
9,  12.5507   6.76836  0.306005 -0.388392,  12.9708   6.75727  0.239797 -0.392137,  12.9277   6.73604  0.239797 -0.392137, 3.00357 -0.47746 -21.6364 0.964322
16,  1.68287   13.6726 -0.206128  0.390511,  1.27743   13.2545 -0.250263  0.386255,  1.34479    13.305 -0.250263  0.386255,-20.0896 -2.68873  21.4117 -1.08983
18, 3.67605   6.6751 -0.38613 0.451551,  3.82935   6.66366 -0.377027  0.418769,  3.84797   6.59169 -0.377027  0.418769, 4.67664 -1.24961 -2.35739  -7.2598
19,   18.526   11.2783 -0.231757 -0.326946,   18.803   11.2211  -0.24538 -0.311699,  18.7869   11.2287  -0.24538 -0.311699,  1.40849 -0.440076   5.87824  -4.66333
0,  3.15745   5.73745 -0.248269  0.439914,  2.85901   5.52236 -0.262776  0.461102,  2.87911   5.53965 -0.262776  0.461102,-8.81558  -3.4474  5.84325  4.81635
7,   9.2585   15.0166  0.514469 -0.473625,  9.25279   14.6486  0.559483 -0.410401,   9.3004   14.7142  0.559483 -0.410401,0.452585 -2.01401  8.74953 -13.3489
9,  12.5609   6.75541  0.306005 -0.388392,  12.6272   6.57994  0.280389 -0.409649,  12.6823   6.60536  0.280389 -0.409649,0.965849 -2.22126 -8.37098  5.47302
16,    1.676   13.6857 -0.206128  0.390511, 1.47232  13.5532 -0.17587 0.350748, 1.44836  13.5112 -0.17587 0.350748,-13.5823 -1.27491 -14.6791 -10.1823
18, 3.66318  6.69015 -0.38613 0.451551,  3.82909   6.78057 -0.395523  0.441127,  3.83015   6.74948 -0.395523  0.441127, 4.55806 0.886876  2.43263 -2.30852
19,  18.5183   11.2674 -0.231757 -0.326946,  18.5991   11.2714 -0.253453 -0.316698,   18.631   11.2619 -0.253453 -0.316698,  0.609019 -0.0483803    9.36166   -3.13426
0,  3.14918   5.75211 -0.248269  0.439914,  3.14741   5.92218 -0.268062  0.438836,  3.09804   5.85672 -0.268062  0.438836, -1.62374   1.81854   7.97239 -0.245098
7,  9.27565   15.0008  0.514469 -0.473625,  9.12378   15.0419  0.529667 -0.478846,  9.15847   14.9809  0.529667 -0.478846, -1.26331 -0.132909   2.95414   1.10245
9,  12.5711   6.74247  0.306005 -0.388392,  12.3173    6.4462  0.293435 -0.411419,   12.384   6.47211  0.293435 -0.411419,-1.48841 -4.00969 -4.10776  5.92877
16,  1.66913   13.6987 -0.206128  0.390511,    2.144   13.3633 -0.194225  0.419836,  2.01899    13.392 -0.194225  0.419836, 20.9608 -2.23895 -5.77445  7.50931
18, 3.65031   6.7052 -0.38613 0.451551,  3.77035    6.4779 -0.337031  0.374307,  3.77885   6.52867 -0.337031  0.374307,  3.5212 -2.63277 -12.7156 -17.1063
19,  18.5105   11.2565 -0.231757 -0.326946,  18.7027   11.1468 -0.232131 -0.335427,  18.6885   11.1653 -0.232131 -0.335427, 0.961241 -0.809775  0.161455   2.59405
0,   3.1409   5.76678 -0.248269  0.439914,  3.22524   5.75778 -0.209751   0.42524,  3.20118   5.77796 -0.209751   0.42524, 1.91928 0.193959 -15.5149 -3.33557
7,   9.2928   14.9851  0.514469 -0.473625,  9.29855   15.4616  0.495215 -0.507705,  9.27663    15.373  0.495215 -0.507705,-0.173929   2.58912  -3.74241   7.19565
9,  12.5813   6.72952  0.306005 -0.388392,  12.5471   6.54504  0.287421 -0.416143,  12.5198   6.52959  0.287421 -0.416143,-0.489384  -2.97091  -6.07324   7.14524
16,  1.66226   13.7117 -0.206128  0.390511,  1.84767   13.4705 -0.177936  0.353014,  1.87708   13.4588 -0.177936  0.353014, 12.9238 -1.84428 -13.6769 -9.60209
18, 3.63744  6.72025 -0.38613 0.451551,    3.696    6.7116 -0.384023  0.471779,   3.7086   6.68156 -0.384023  0.471779,  1.95628 -0.575837 -0.545793   4.47976
19,  18.5028   11.2456 -0.231757 -0.326946,  18.2523   11.2353 -0.182666 -0.272259,  18.3288   11.2211 -0.182666 -0.272259,-0.940593  -0.21804  -21.1822  -16.7264
