obs_id,true_value,meas_value,corr_value,diff(%)
4, -5.51862  -3.13161 -0.291101  0.392372, -5.95473   -3.3099 -0.334372    0.3778, -5.79552  -3.25914 -0.334372    0.3778, 5.01751  4.07227  14.8646 -3.71385
17,  9.63458   -1.9694 -0.493217 -0.342972,  9.96302  -2.16877 -0.504645 -0.375452,  9.94469  -2.16001 -0.504645 -0.375452,3.21868 9.67854 2.31706 9.46992
18, 5.38788   4.6732 -0.38613 0.451551,  5.67473   4.64525 -0.351866  0.480273,  5.61492   4.59688 -0.351866  0.480273, 4.21396 -1.63329  -8.8736  6.36086
0,  4.25812   3.78718 -0.248269  0.439914,   4.4839   3.32501 -0.302713  0.436641,  4.46218   3.43937 -0.302713  0.436641,  4.79236  -9.18391   21.9295 -0.744005
4, -5.52832  -3.11853 -0.291101  0.392372, -5.29974   -3.3435 -0.293449  0.345904, -5.41387  -3.32167 -0.293449  0.345904, -2.0702  6.51391 0.806676 -11.8428
17,  9.61814  -1.98083 -0.493217 -0.342972,  9.66225  -2.27601 -0.563648 -0.356321,  9.72205  -2.25271 -0.563648 -0.356321,1.08035 13.7255 14.2799 3.89205
18,   5.375  4.68826 -0.38613 0.451551,  5.58494    5.0964 -0.408692  0.464521,  5.58905   4.98754 -0.408692  0.464521,3.98227 6.38359 5.84322 2.87248
0,  4.24985   3.80184 -0.248269  0.439914,  4.54889   4.05736 -0.277668  0.398886,   4.5271    3.9215 -0.277668  0.398886, 6.52381  3.14733  11.8414 -9.32636
4, -5.53802  -3.10545 -0.291101  0.392372, -5.12472   -3.0208 -0.295297  0.431149, -5.19203  -3.08595 -0.295297  0.431149, -6.24769 -0.628029   1.44141   9.88281
17,   9.6017  -1.99227 -0.493217 -0.342972,   9.2857  -2.53514 -0.500775 -0.316549,  9.37971  -2.47423 -0.500775 -0.316549,-2.31197  24.1916  1.53246 -7.70432
18, 5.36213  4.70331 -0.38613 0.451551,  5.31234   5.04166 -0.395215  0.467199,  5.37157   5.03296 -0.395215  0.467199,0.176013  7.00899  2.35273  3.46549
0,  4.24157    3.8165 -0.248269  0.439914,  4.37998   3.41822 -0.212261  0.434286,  4.41102   3.53452 -0.212261  0.434286, 3.99499 -7.38841 -14.5038 -1.27928
4, -5.54773  -3.09237 -0.291101  0.392372, -5.74574   -3.3655 -0.311392  0.409251, -5.62329  -3.29933 -0.311392  0.409251,1.36203 6.69248 6.97026 4.30171
17,  9.58526   -2.0037 -0.493217 -0.342972,  9.64769  -1.70146 -0.519922 -0.354783,   9.5836  -1.87782 -0.519922 -0.354783,-0.0173318   -6.28234    5.41446    3.44358
18, 5.34926  4.71836 -0.38613 0.451551,  5.39007   4.85243 -0.449079  0.529447,  5.38294   4.89658 -0.449079  0.529447,0.629521  3.77725  16.3025  17.2508
0,  4.23329   3.83117 -0.248269  0.439914,  4.48129   3.63737 -0.207006  0.487055,  4.46388   3.61747 -0.207006  0.487055, 5.44686 -5.57783 -16.6202  10.7159
4, -5.55743  -3.07929 -0.291101  0.392372, -5.42568  -3.47063 -0.308409  0.417335, -5.47251  -3.42899 -0.308409  0.417335,-1.52809  11.3566  5.94569  6.36206
17,  9.56882  -2.01513 -0.493217 -0.342972,  9.57613  -1.73538 -0.476489 -0.330186,  9.57391  -1.77011 -0.476489 -0.330186,0.053211  -12.159 -3.39167 -3.72812
18, 5.33639  4.73341 -0.38613 0.451551,  4.86001   4.61231 -0.428889   0.44784,  4.97438   4.68029 -0.428889   0.44784, -6.78391  -1.12226   11.0736 -0.821759
0,  4.22502   3.84583 -0.248269  0.439914,  4.29086   3.85274 -0.235637  0.411201,  4.32826   3.80342 -0.235637  0.411201, 2.44352 -1.10268 -5.08816 -6.52706
4, -5.56713  -3.06621 -0.291101  0.392372, -5.53875  -2.98415 -0.265979  0.359604, -5.52615  -3.08117 -0.265979  0.359604,-0.736103   0.48797  -8.63003  -8.35125
17,  9.55238  -2.02656 -0.493217 -0.342972,  9.70315  -2.15434 -0.492479 -0.360062,  9.67047  -2.07031 -0.492479 -0.360062,  1.23625    2.1585 -0.149623   4.98271
18, 5.32352  4.74846 -0.38613 0.451551,  5.39535   4.46737 -0.402942  0.424675,  5.29735   4.51867 -0.402942  0.424675,-0.491615  -4.83934    4.3541  -5.95195
0,  4.21674   3.86049 -0.248269  0.439914,  4.43764   4.32271 -0.283327  0.444742,  4.41125   4.20888 -0.283327  0.444742,4.61262 9.02443 14.1208 1.09741
4, -5.57684  -3.05313 -0.291101  0.392372, -5.89392  -2.64943 -0.254686  0.408715, -5.81311  -2.74394 -0.254686  0.408715, 4.23676 -10.1272 -12.5096  4.16509
17,  9.53594    -2.038 -0.493217 -0.342972,  9.42313  -2.16239 -0.461328 -0.292146,  9.47512  -2.14436 -0.461328 -0.292146,-0.637784   5.21905  -6.46542  -14.8193
18, 5.31065  4.76352 -0.38613 0.451551,  5.35798   4.67663 -0.358281  0.402085,  5.34131   4.64425 -0.358281  0.402085,0.577226 -2.50367 -7.21222 -10.9547
0,  4.20847   3.87516 -0.248269  0.439914,  4.46004   3.96774 -0.231573  0.489819,  4.44693   4.02537 -0.231573  0.489819, 5.66625  3.87626 -6.72495  11.3443
4, -5.58654  -3.04005 -0.291101  0.392372,-5.72998 -2.82431 -0.24957 0.362086,-5.75061 -2.80315 -0.24957 0.362086, 2.93681 -7.79287 -14.2668 -7.71871
17,   9.5195  -2.04943 -0.493217 -0.342972,  9.64693  -1.70409 -0.520741  -0.28759,  9.60478  -1.80541 -0.520741  -0.28759, 0.89587 -11.9066  5.58061 -16.1478
18, 5.29778  4.77857 -0.38613 0.451551,  5.63326   5.12501 -0.395867  0.433576,  5.56484   5.01979 -0.395867  0.433576,5.04099 5.04801  2.5218 -3.9806
0,  4.20019   3.88982 -0.248269  0.439914,  3.84578   4.11212 -0.221896  0.411261,  3.97939   4.09626 -0.221896  0.411261,-5.25693  5.30724 -10.6227 -6.51328
4, -5.59624  -3.02697 -0.291101  0.392372, -5.53415  -3.38611 -0.272574  0.378085, -5.58476  -3.25214 -0.272574  0.378085,-0.205195   7.43865  -6.36449  -3.64125
