obs_id,true_value,meas_value,corr_value,diff(%)
17,   9.3551  -2.16375 -0.493217 -0.342972,   9.0195  -2.07705 -0.469128 -0.337326,  9.13847  -2.00599 -0.469128 -0.337326,-2.31558 -7.29128 -4.88408 -1.64632
18, 5.16907  4.92909 -0.38613 0.451551,  4.77286    4.8583 -0.403551  0.414294,  4.83162   4.92447 -0.403551  0.414294,  -6.52828 -0.0935567    4.51173   -8.25079
0,  4.11744   4.03646 -0.248269  0.439914, 4.23926  3.75124 -0.23482 0.490038, 4.21753   3.7937 -0.23482 0.490038, 2.43087 -6.01409 -5.41739  11.3941
4, -5.69327  -2.89618 -0.291101  0.392372,   -5.536  -3.07183 -0.317852  0.406477, -5.60924  -3.06107 -0.317852  0.406477,-1.47605  5.69311  9.18961  3.59478
17,  9.33866  -2.17519 -0.493217 -0.342972,  9.18709  -2.34417 -0.516659 -0.308141,  9.17263  -2.27056 -0.516659 -0.308141,-1.77789  4.38483  4.75282 -10.1557
18,  5.1562  4.94414 -0.38613 0.451551,  5.31949   5.07984 -0.332108  0.446604,  5.20662   5.04797 -0.332108  0.446604,0.977792  2.10006 -13.9907 -1.09548
0,  4.10916   4.05112 -0.248269  0.439914,  4.37198   4.26375 -0.265757  0.409115,  4.33544    4.1616 -0.265757  0.409115, 5.50677  2.72698  7.04371 -7.00119
4, -5.70298   -2.8831 -0.291101  0.392372, -5.65881  -2.85887 -0.265078  0.402089, -5.65004  -2.90135 -0.265078  0.402089,-0.928318  0.632767  -8.93953    2.4765
17,  9.32222  -2.18662 -0.493217 -0.342972,  9.23844  -1.70292 -0.535793 -0.316435,  9.21974  -1.83304 -0.535793 -0.316435,-1.09922 -16.1701   8.6323  -7.7375
18, 5.14333  4.95919 -0.38613 0.451551,  4.87544   5.39371 -0.405975  0.482795,  4.94751   5.31922 -0.405975  0.482795,-3.80726  7.25985  5.13939  6.91933
0,  4.10089   4.06579 -0.248269  0.439914,   4.1061   4.15127 -0.279368   0.44254,  4.15575   4.15666 -0.279368   0.44254,1.33775 2.23514 12.5263 0.59705
4, -5.71268  -2.87002 -0.291101  0.392372, -5.51649   -3.0499 -0.281004  0.404809, -5.54855  -3.01344 -0.281004  0.404809,-2.87315  4.99698  -3.4688  3.16975
17,  9.30578  -2.19805 -0.493217 -0.342972,  9.26392  -2.44316 -0.504992 -0.304606,  9.24995  -2.30816 -0.504992 -0.304606,-0.599909   5.00956   2.38739  -11.1863
18, 5.13046  4.97424 -0.38613 0.451551,  4.81543   4.94805 -0.386004  0.445846,  4.84212   5.03524 -0.386004  0.445846,  -5.62017     1.2263 -0.0325786   -1.26341
0,  4.09261   4.08045 -0.248269  0.439914, 3.83884  3.81933 -0.24537 0.483205,  3.9081   3.8986 -0.24537 0.483205,-4.50849 -4.45658 -1.16768  9.84075
4, -5.72238  -2.85695 -0.291101  0.392372, -5.57652  -2.77208 -0.335995   0.33559, -5.57233  -2.82338 -0.335995   0.33559,-2.62218 -1.17486  15.4222 -14.4714
